id,Company,About company,Company outlook,Company size (number of employees),Company type,Compensation band,Contact details,Content,How to apply,Last edited time,Market,Priority,Scope of AI,Status,Tips,Website
1,Sarvam AI,"Bengaluru-based AI company building India's sovereign LLM stack — multilingual models, voice AI, and enterprise deployments. ~114 employees, $41M raised, backed by Lightspeed & Peak XV. Selected by Indian government for IndiaAI Mission.",Very positive,small,Startup,1cr+,mailto:pratyush@sarvam.ai (likely) | X: @pratykumar (DMs open) | LinkedIn: http://linkedin.com/in/pratyush-kumar-8844a8a3,"Hi Pratyush.

I've been following Sarvam and I want to work with you.
I've got 10 years building product in dynamic industries like social media, leading teams of 20+.
Early to AI too: I built one of the first AI SaaS products in 2021. It was powered by GPT-3 during its private beta. Since then: 25M+ users, $50M+ pipeline, $3M raised, and a patent that cuts conversational AI costs 90%.

Now I'm after the next big thing.
Check out http://tanishksharma.com if the pitch was compelling.

Worth 5 minutes?
+91 89712 58254",DM Founder,"June 20, 2026 12:35 PM",Indian,High,"AI is the entire company — full-stack LLM platform, speech, OCR, and multimodal models built for Indian languages and enterprise.",Reached out,"Pratyush Kumar (@pratykumar on X) has DMs explicitly open and posts daily. There is also a live Product Manager opening at http://careers.kula.ai/sarvam-ai — apply there AND DM Pratyush on X referencing it. Keep the X DM under 5 lines. Co-founder Vivek Raghavan is also reachable on LinkedIn. This is among the strongest founder-outreach plays in the list — small team, research-heavy, they genuinely need a commercial PM bridge.",https://www.sarvam.ai
2,Krutrim,"Bhavish Aggarwal's AI lab, part of the Ola group. Was India's first GenAI unicorn ($1B) but has had a brutal 2026: employee count fell from 550+ (Aug 2025) to ~150-160 (Mar 2026), paused chip and foundation model work, killed its Kruti assistant, and pivoted to AI cloud infrastructure. FY26 revenue ~Rs 300cr, first profitable year.",Very negative,medium,Startup,1cr+,"Bhavish Aggarwal (Founder/CEO) — X: @bhash (609K followers, very active, best channel) | LinkedIn: http://linkedin.com/in/bhavishaggarwal | mailto:bhavish@krutrim.com (likely)","Hi Bhavish.

I've been following Krutrim and I want to work with you.
I've got 10 years building product in dynamic industries like social media, leading teams of 20+.
Early to AI too: I built one of the first AI SaaS products in 2021. It was powered by GPT-3 during its private beta. Since then: 25M+ users, $50M+ pipeline, $3M raised, and a patent that cuts conversational AI costs 90%.

Now I'm after the next big thing.
Check out http://tanishksharma.com if the pitch was compelling.

Worth 5 minutes?
+91 89712 58254",DM Founder,"April 28, 2026 9:25 AM",Indian,Medium,Pivoted from sovereign LLMs/chips to enterprise AI cloud infrastructure after killing consumer assistant Kruti and pausing model/chip R&D.,Ready,"MAJOR CAUTION: 70%+ headcount cut in 7 months, Kruti shut down, chip/LLM work paused. This is a high-risk, distressed situation — not the strong play it looked like a few months ago. Still worth a DM given the founder-reachability and 0-to-1 PM gap left by exits, but go in with eyes open and do real diligence before any offer.",https://www.krutrim.com
3,http://Yellow.ai,"Enterprise conversational/agentic AI platform for CX automation. 875 employees, $102M raised. Bengaluru-founded, now HQ'd San Mateo. Two 2025 layoff rounds totalling ~30% of headcount as it pivots to autonomous AI agents (Nexus product) under ChatGPT-era pressure.",Negative,medium,Startup,80LPA,"Rashid Khan (Co-founder & CPO) — LinkedIn: http://linkedin.com/in/rashoodkhan (Forbes 30U30, very active) | mailto:rashid@yellow.ai (likely). Not CEO Raghu Ravinutala — Rashid owns product.","Hi Rashid.

I've been following http://Yellow.ai and I want to work with you.
I've got 10 years building product in dynamic industries like social media, leading teams of 20+.
Early to AI too: I built one of the first AI SaaS products in 2021. It was powered by GPT-3 during its private beta. Since then: 25M+ users, $50M+ pipeline, $3M raised, and a patent that cuts conversational AI costs 90%.

Now I'm after the next big thing.
Check out http://tanishksharma.com if the pitch was compelling.

Worth 5 minutes?
+91 89712 58254",DM Founder,"April 28, 2026 9:25 AM",Indian,Medium,"Core product is AI — LLM-powered autonomous agents for CX/EX, omnichannel automation, AI analytics. Pivoting to Nexus, a universal agentic interface launched Feb 2026.",Ready,"Two layoff rounds in 2025 (~30% total) means the formal recruiter process is unreliable — DM Rashid directly, reference Nexus specifically. Also check http://yellow.ai/company/careers for active product leadership listings.",https://www.yellow.ai
4,Glean,"Enterprise Work AI platform — search, AI assistant, and agents for knowledge workers. $765M raised, $7.2B valuation, $200M+ ARR. 1,500+ employees, Palo Alto-based. Fast Company Top 10 Most Innovative Companies 2025.",Very positive,large,Startup,1cr+,Arvind Jain (CEO) — http://linkedin.com/in/arvind-jain-glean | X: @arvindjain_ | Kasey Uhlenhuth (Dir PM) — http://linkedin.com/in/kaseyuhlenhuth | Apply via http://glean.com/careers (Greenhouse),"Dear Glean,

The short version of why: 10 years building product in dynamic industries like social media, leading teams of 20+. Early to AI too: I built one of the first AI SaaS products in 2021. It was powered by GPT-3 during its private beta.
Since then I've shipped AI-first products to 25M+ users, generated $50M+ in pipeline, raised $3M from VCs, trained purpose-built models with cutting-edge techniques, and filed a patent that cuts conversational AI costs by 90%.
In the last few months I've gone deeper into AI productivity directly: side projects, the latest tools, mentoring startups, rebuilding my workflows for an AI-led world. Glean is exactly where I want to do that next.

More at http://tanishksharma.com.

Tanishk Sharma
+91 89712 58254
http://tanishksharma.com",Website,"June 19, 2026 8:35 AM",International,High,"AI is the core product — enterprise knowledge graph, AI search, AI assistant, and Glean Agents for workflow automation. 100M+ agent actions annually.",Ready,"Apply via http://glean.com/careers. At $7.2B valuation and $200M+ ARR they have a formal PM org. Three co-founders are Indian-origin (Arvind Jain, T.R. Vishwanath, Piyush Prahladka) — your Bengaluru location and Indian startup background could be a warm conversation starter. Target Head of Product or Director PM roles for their enterprise search or AI agents product lines. Referral from a current Glean PM (many are former Google/Rubrik alumni on LinkedIn) is the fastest path.",https://www.glean.com
5,Freshworks,"NASDAQ-listed enterprise SaaS company (FRSH) building AI-powered CX and EX software. 68,000+ customers including American Express, Databricks, Sony. 5,000+ employees, headquartered in San Mateo, strong R&D base in Chennai & Bengaluru.",Positive,large,Giant/Unicorn,1cr+,Dennis Woodside (CEO) — X: @dmwoodside | http://linkedin.com/in/dennis-woodside-341302 | Apply via http://freshworks.com/company/careers,"Dear Freshworks,

The short version of why: 10 years building product in dynamic industries like social media, leading teams of 20+. Early to AI too: I built one of the first AI SaaS products in 2021. It was powered by GPT-3 during its private beta.
Since then I've shipped AI-first products to 25M+ users, generated $50M+ in pipeline, raised $3M from VCs, trained purpose-built models with cutting-edge techniques, and filed a patent that cuts conversational AI costs by 90%.
In the last few months I've gone deeper into AI productivity directly: side projects, the latest tools, mentoring startups, rebuilding my workflows for an AI-led world. Freshworks is exactly where I want to do that next.

More at http://tanishksharma.com.

Tanishk Sharma
+91 89712 58254
http://tanishksharma.com",Website,"June 19, 2026 8:35 AM",Indian,High,"AI deeply embedded across product suite — Freddy AI agents for CX and EX automation, workflow AI, and AI service across 50+ product areas. Three declared priorities: EX, AI, and CX.",Ready,"Apply via http://freshworks.com/company/careers and LinkedIn. New CPO Srinivasan Raghavan joined Dec 2024 — this is a window, as new CPOs often build their product leadership layer in the first 6-12 months. Search LinkedIn for recruiters in Srini’s org. Target VP or Head of Product for their Freddy AI agent platform specifically. Chennai and Bengaluru offices have product roles. Your enterprise SaaS + AI product experience at Revenoid and fluffbotics maps directly.",https://www.freshworks.com
6,Haptik,"Jio-owned conversational AI platform for enterprise CX automation. Founded 2013 Mumbai, acquired by Reliance Jio in 2019. ~₹232Cr revenue (FY25). Founder Aakrit Vaish stepped down as CEO in 2025; Ahshad Jussawalla (ex-Wizly/Mobikon/BookMyShow) now runs it and has grown the business 30% while steering toward agentic AI.",Positive,medium,MNC/Corporate,80LPA,"Ahshad Jussawalla (CEO, since 2025) — LinkedIn search recommended, limited public profile. Aakrit Vaish (Founder, now on Board, runs VC firm Activate) remains reachable on LinkedIn/X but is no longer operational. Best path is HR/Jio network referral, not founder DM.","Dear Haptik,

The short version of why: 10 years building product in dynamic industries like social media, leading teams of 20+. Early to AI too: I built one of the first AI SaaS products in 2021. It was powered by GPT-3 during its private beta.
Since then I've shipped AI-first products to 25M+ users, generated $50M+ in pipeline, raised $3M from VCs, trained purpose-built models with cutting-edge techniques, and filed a patent that cuts conversational AI costs by 90%.
In the last few months I've gone deeper into AI productivity directly: side projects, the latest tools, mentoring startups, rebuilding my workflows for an AI-led world. Haptik is exactly where I want to do that next.

More at http://tanishksharma.com.

Tanishk Sharma
+91 89712 58254
http://tanishksharma.com",Website,"April 28, 2026 9:25 AM",Indian,Medium,"NLP chatbots, voice bots, agentic assistants across WhatsApp/web/voice, deeply integrated with Jio's ecosystem. Two product lines: Contakt (enterprise) and Interakt (SME).",Ready,Founder Aakrit Vaish is no longer CEO as of 2025 — founder-DM angle is weaker than it looks. Apply via http://haptik.ai/company/careers or LinkedIn Jobs filtered to Haptik. Jio network referral is the strongest path inside a Jio subsidiary. Target product leadership roles in WhatsApp business or enterprise bot divisions.,https://www.haptik.ai
7,Locus,"Bengaluru-founded AI logistics/dispatch optimization platform (founded 2015, $82.5M raised). Acquired by Ingka Group (IKEA's parent) in Oct 2025. Nishith Rastogi remains Founder & CEO. ~358 employees, clients include Unilever, Nestle, Tata Group, BlueDart.",Positive,medium,Startup,70LPA,Nishith Rastogi (Founder & CEO) — LinkedIn: http://linkedin.com/in/nishithrastogi. Geet Garg (Co-founder & CTO) also reachable.,"Hi Nishith.

I've been following Locus and I want to work with you.
I've got 10 years building product in dynamic industries like social media, leading teams of 20+.
Early to AI too: I built one of the first AI SaaS products in 2021. It was powered by GPT-3 during its private beta. Since then: 25M+ users, $50M+ pipeline, $3M raised, and a patent that cuts conversational AI costs 90%.

Now I'm after the next big thing.
Check out http://tanishksharma.com if the pitch was compelling.

Worth 5 minutes?
+91 89712 58254",DM Founder,"April 28, 2026 9:25 AM",Indian,Medium,"Proprietary routing, packing, and scheduling algorithms for last-mile logistics — dispatch management and delivery optimization AI across 30+ countries.",Ready,"Fresh news hook: Ingka Group (IKEA) acquisition closed Oct 2025 — reference it as a sign of stability and a new growth phase under a global retail parent. Founder still operational and accessible, unlike most acquired startups.",https://www.locus.sh
8,Darwinbox,"AI-first enterprise HR platform for the Asia-Pacific region. Hyderabad-based, $140M+ raised (Series D), serves 850+ enterprises across 100+ countries including Paytm, Myntra, and Persistent.",Very positive,medium,Startup,80LPA,Jayant Paleti (Co-founder) — X: @jayantp | http://linkedin.com/in/jayantpaleti | Apply via http://darwinbox.com/careers,"Hi Jayant.

I've been following Darwinbox and I want to work with you.
I've got 10 years building product in dynamic industries like social media, leading teams of 20+.
Early to AI too: I built one of the first AI SaaS products in 2021. It was powered by GPT-3 during its private beta. Since then: 25M+ users, $50M+ pipeline, $3M raised, and a patent that cuts conversational AI costs 90%.

Now I'm after the next big thing.
Check out http://tanishksharma.com if the pitch was compelling.

Worth 5 minutes?
+91 89712 58254",Website,"June 21, 2026 5:55 PM",Indian,High,"AI deeply integrated into HRMS — AI-driven talent intelligence, performance analytics, chatbot-based HR workflows, and ML for attrition prediction and workforce planning.",Ready,Chaitanya Peddi (CPO & Co-founder) is the exact right contact and is active on LinkedIn. They have 11 open positions right now — check http://darwinbox.com/careers for any product leadership listings. DM Chaitanya directly and reference their Gartner Magic Quadrant Challenger recognition in 2025 to show you follow their progress. APAC and Middle East expansion is their biggest growth area — pitch yourself as someone who can own the product layer across those markets.,https://www.darwinbox.com
9,Sprinklr,"Enterprise AI-powered customer experience management platform. NASDAQ-listed (CXM), $600M+ ARR, 2000+ employees. Founded by Ragy Thomas, HQ in NYC with strong India R&D presence.",Positive,large,Giant/Unicorn,1cr+,"Ragy Thomas (CEO, Founder) — not a useful direct channel at this scale. Formal hiring via http://careers.sprinklr.com and LinkedIn; search for Head of Product or Director of Product, AI division. Bengaluru R&D presence.","Dear Sprinklr,

The short version of why: 10 years building product in dynamic industries like social media, leading teams of 20+. Early to AI too: I built one of the first AI SaaS products in 2021. It was powered by GPT-3 during its private beta.
Since then I've shipped AI-first products to 25M+ users, generated $50M+ in pipeline, raised $3M from VCs, trained purpose-built models with cutting-edge techniques, and filed a patent that cuts conversational AI costs by 90%.
AI embedded across your unified CXM platform at NASDAQ scale is exactly the kind of product breadth I want next.

More at http://tanishksharma.com.

Tanishk Sharma
+91 89712 58254
http://tanishksharma.com",Website,"April 28, 2026 9:25 AM",Indian,Medium,"AI embedded across unified CXM platform — AI insights, sentiment analysis, AI-generated responses, and AI agents for customer service and marketing workflows.",Ready,"2000+ employees, NASDAQ-listed — formal PM hiring through http://careers.sprinklr.com and LinkedIn. Search specifically for Head of Product or Director of Product roles in their AI division. Sprinklr has a strong India engineering and PM presence in Bengaluru. An internal referral from someone in their product org dramatically increases response rate. CEO Ragy Thomas is on LinkedIn but not a useful channel for PM hiring at this scale.",https://www.sprinklr.com
10,Leena AI,"Autonomous AI platform for enterprise employee experience — HR, IT, Finance, and Admin workflows. India-founded (IIT Delhi alumni), $40M raised, 500+ enterprise clients including Nestle, Puma, Coca-Cola across 90+ countries.",Positive,medium,Startup,1cr+,Adit Jain (CEO) — mailto:adit@leena.ai | http://linkedin.com/in/adit-jain-leena-ai | X: @aditjain94 | Forbes 30U30,"Subject: Leena AI + me

Hi Adit,

I've been following Leena AI and I want to work with you.
I've got 10 years building product in dynamic industries like social media, leading teams of 20+.
Early to AI too: I built one of the first AI SaaS products in 2021. It was powered by GPT-3 during its private beta. Since then: 25M+ users, $50M+ pipeline, $3M raised, and a patent that cuts conversational AI costs 90%.

Now I'm after the next big thing.
Check out http://tanishksharma.com if the pitch was compelling.

Worth 5 minutes?
Tanishk
+91 89712 58254
http://tanishksharma.com",Email,"June 20, 2026 12:23 PM",Indian,High,"AI is the entire product — autonomous agents that deflect 60-70% of employee support tickets across HR, IT, finance. Integrates with Workday, SAP, ServiceNow, Salesforce.",Reached out,"Adit Jain (CEO, IIT Delhi, YC S18) is very active on LinkedIn and writes regularly about enterprise AI and agentic systems. Engage with one of his posts before DMing — he notices. Email mailto:adit@leena.ai works too. Also leverage the YC alumni network if you have any YC connections. Check http://leena.ai/company/careers for product leadership listings. Their expansion from HR into IT, Finance, and Admin is the key product narrative to pitch against.",https://www.leena.ai
